ID,school,creche,gender,asidlale,age_months,year,cut,stick,follow_instruct,self_pic,matching,draw_lines,hop,playdough,wooden_puzz,six_puzz,clapping,classification,lacing,peg_cards,five_puzz,dance_freeze,laminated_shape,beanbag,score14
1,Mabane,Sbukosezwe,F,1,59,2013,2,2,3,2,3,2,3,1,3,3,3,3,2,3,,,,,35
2,Mabane,Sbukosezwe,F,1,61,2013,1,1,3,3,3,3,2,3,3,1,3,1,3,1,,,,,31
3,Mabane,Sbukosezwe,F,1,55,2013,3,3,3,3,3,3,2,3,3,3,2,3,3,3,,,,,40
4,Mabane,Sbukosezwe,F,1,54,2013,2,2,3,2,3,2,1,3,3,1,3,3,3,2,,,,,33
5,Mabane,Sbukosezwe,F,1,51,2013,2,3,3,1,3,1,2,1,1,3,3,1,2,3,,,,,29
6,Mabane,Sbukosezwe,F,1,53,2013,2,3,3,3,3,2,2,3,3,2,2,3,3,3,,,,,37
7,Mabane,Siyazama,F,1,56,2013,2,1,1,2,1,1,2,1,3,2,2,3,3,3,,,,,27
8,Mabane,Siyazama,F,1,64,2013,3,3,3,3,2,3,2,3,3,1,3,3,3,3,,,,,38
9,Mabane,Unakekelo,M,1,59,2013,2,3,3,2,3,1,2,3,3,2,2,3,3,3,,,,,35
10,Mabane,Siyazama,M,1,58,2013,2,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,41
11,Mabane,Sbukosezwe,M,1,58,2013,2,3,3,2,3,3,3,3,3,1,3,3,2,3,,,,,37
12,Mabane,Sbukosezwe,M,1,62,2013,2,3,3,3,3,3,3,2,3,1,3,3,2,3,,,,,37
13,Mabane,Sbukosezwe,M,1,56,2013,3,3,2,2,3,2,3,3,3,1,3,3,2,3,,,,,36
14,Mabane,Sbukosezwe,M,1,58,2013,1,3,2,2,3,2,3,3,3,1,3,3,2,3,,,,,34
15,Mabane,Sbukosezwe,M,1,52,2013,3,3,2,3,3,3,3,1,3,2,3,1,2,3,,,,,35
16,Nobanda,Kwanomusa,F,1,59,2013,3,3,3,2,3,2,3,2,3,1,2,3,3,3,,,,,36
17,Nobanda,Kwanomusa,F,1,64,2013,3,3,3,3,3,3,1,2,3,1,1,3,2,3,,,,,34
18,Nobanda,Raphs,F,1,68,2013,2,3,3,2,3,3,3,3,3,3,3,3,3,3,,,,,40
19,Nobanda,Raphs,F,1,66,2013,3,3,3,3,3,3,3,2,3,1,3,3,2,3,,,,,38
20,Nobanda,Kwanomusa,F,1,58,2013,2,3,3,2,3,2,3,2,3,1,1,2,2,3,,,,,32
21,Nobanda,Raphs,F,1,68,2013,3,3,3,3,3,3,3,2,3,3,3,3,3,3,,,,,41
